route_id,route_licence_number,sub_agency_name
L903,100903,"Dopravní podnik hl. m. Prahy, akciová společnost"
L904,100904,"Dopravní podnik hl. m. Prahy, akciová společnost"
L905,100905,"Dopravní podnik hl. m. Prahy, akciová společnost"
L906,100906,"Dopravní podnik hl. m. Prahy, akciová společnost"
L907,100907,"Dopravní podnik hl. m. Prahy, akciová společnost"
L908,100908,"Dopravní podnik hl. m. Prahy, akciová společnost"
L909,100909,"Dopravní podnik hl. m. Prahy, akciová společnost"
L910,100910,"Dopravní podnik hl. m. Prahy, akciová společnost"
L911,100911,"Dopravní podnik hl. m. Prahy, akciová společnost"
L912,100912,"Dopravní podnik hl. m. Prahy, akciová společnost"
L913,100913,"Dopravní podnik hl. m. Prahy, akciová společnost"
L914,100914,"Dopravní podnik hl. m. Prahy, akciová společnost"
L915,100915,"Dopravní podnik hl. m. Prahy, akciová společnost"
L955,100955,"Dopravní podnik hl. m. Prahy, akciová společnost"
L1004,,"České dráhy, a.s."
L1011,,"České dráhy, a.s."
L1012,,"České dráhy, a.s."
L1014,,"České dráhy, a.s."
L1021,,"České dráhy, a.s."
L1022,,"České dráhy, a.s."
L1040,,"České dráhy, a.s."
L1209,,"České dráhy, a.s."
L1210,,"České dráhy, a.s."
L1216,,"České dráhy, a.s."
L1217,,"České dráhy, a.s."
L1218,,"České dráhy, a.s."
L1219,,"České dráhy, a.s."
L1220,,"České dráhy, a.s."
L1221,,"České dráhy, a.s."
L1222,,"České dráhy, a.s."
L1223,,"České dráhy, a.s."
L1224,,"České dráhy, a.s."
L1226,,"České dráhy, a.s."
L1241,,"České dráhy, a.s."
L1243,,"České dráhy, a.s."
L1244,,"České dráhy, a.s."
L1245,,"České dráhy, a.s."
L1249,,"České dráhy, a.s."
L1301,,"České dráhy, a.s."
L1302,,"České dráhy, a.s."
L1303,,"České dráhy, a.s."
L1304,,"České dráhy, a.s."
L1305,,"České dráhy, a.s."
L1306,,"České dráhy, a.s."
L1307,,"České dráhy, a.s."
L1308,,"České dráhy, a.s."
L1309,,"České dráhy, a.s."
L1310,,"České dráhy, a.s."
L1311,,"České dráhy, a.s."
L1312,,"České dráhy, a.s."
L1315,,"České dráhy, a.s."
L1318,,"České dráhy, a.s."
L1320,,"České dráhy, a.s."
L1321,,"České dráhy, a.s."
L1322,,"České dráhy, a.s."
L1323,,"České dráhy, a.s."
L1324,,"KŽC Doprava,s.r.o."
L1325,,"České dráhy, a.s."
L1326,,"České dráhy, a.s."
L1327,,"České dráhy, a.s."
L1328,,"České dráhy, a.s."
L1330,,"České dráhy, a.s."
L1331,,"České dráhy, a.s."
L1332,,"České dráhy, a.s."
L1333,,"České dráhy, a.s."
L1334,,"KŽC Doprava,s.r.o."
L1335,,"České dráhy, a.s."
L1340,,"České dráhy, a.s."
L1342,,"České dráhy, a.s."
L1343,,"České dráhy, a.s."
L1344,,"České dráhy, a.s."
L1345,,"České dráhy, a.s."
L1346,,"České dráhy, a.s."
L1349,,"ARRIVA vlaky s.r.o."
L1350,,"České dráhy, a.s."
L1351,,"České dráhy, a.s."
L1352,,"České dráhy, a.s."
L1353,,"České dráhy, a.s."
L1354,,"České dráhy, a.s."
L1357,,"České dráhy, a.s."
L1360,,"České dráhy, a.s."
L1365,,"České dráhy, a.s."
L1366,,"České dráhy, a.s."
L1367,,"České dráhy, a.s."
L1370,,"České dráhy, a.s."
L1375,,"České dráhy, a.s."
L1376,,"České dráhy, a.s."
L1380,,"České dráhy, a.s."
L1388,,"České dráhy, a.s."
L1390,,"České dráhy, a.s."
L1399,,"České dráhy, a.s."
L110,100110,"Jaroslav Štěpánek"
L115,100115,"ČSAD POLKOST, spol. s r.o."
L117,100117,"ABOUT ME s.r.o."
L146,100146,"ABOUT ME s.r.o."
L155,100155,"ARRIVA CITY s.r.o."
L163,100163,"ARRIVA CITY s.r.o."
L164,100164,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L166,100166,"ABOUT ME s.r.o."
L194,100194,"ABOUT ME s.r.o."
L203,100203,"ABOUT ME s.r.o."
L208,100208,"STENBUS s.r.o."
L209,100209,"STENBUS s.r.o."
L210,100210,"STENBUS s.r.o."
L211,100211,"ARRIVA CITY s.r.o."
L212,100212,"Okresní autobusová doprava Kolín, s.r.o."
L220,100220,"ARRIVA CITY s.r.o."
L221,100221,"STENBUS s.r.o."
L222,100222,"STENBUS s.r.o."
L223,100223,"ARRIVA CITY s.r.o."
L224,100224,"ABOUT ME s.r.o."
L226,100226,"ČSAD POLKOST, spol. s r.o."
L228,100228,"ARRIVA CITY s.r.o."
L240,100240,"ARRIVA CITY s.r.o."
L243,100243,"Martin UHER, spol. s r.o."
L253,100253,"ARRIVA CITY s.r.o."
L254,100254,"ARRIVA CITY s.r.o."
L257,100257,"Jaroslav Štěpánek"
L264,100264,"ARRIVA CITY s.r.o."
L300,100300,"ČSAD MHD Kladno a.s."
L302,100302,"ČSAD Střední Čechy, a.s."
L303,100303,"ARRIVA CITY s.r.o."
L306,100306,"ČSAD MHD Kladno a.s."
L307,100307,"ČSAD MHD Kladno a.s."
L308,100308,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L309,100309,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L310,100310,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L311,100311,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L313,100313,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L314,100314,"Martin UHER, spol. s r.o."
L315,100315,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L316,100316,"ČSAD MHD Kladno a.s."
L317,100317,"Martin UHER, spol. s r.o."
L318,100318,"Martin UHER, spol. s r.o."
L319,100319,"ČSAD MHD Kladno a.s."
L320,100320,"Martin UHER, spol. s r.o."
L321,100321,"Martin UHER, spol. s r.o."
L322,100322,"ČSAD MHD Kladno a.s."
L323,107323,"Valenta BUS s.r.o."
L323,106323,"POHL Kladno s.r.o."
L324,100324,"ČSAD MHD Kladno a.s."
L325,100325,"ČSAD POLKOST, spol. s r.o."
L326,100326,"ARRIVA CITY s.r.o."
L327,100327,"ARRIVA CITY s.r.o."
L328,100328,"ARRIVA CITY s.r.o."
L330,104330,"AUTODOPRAVA LAMER s.r.o."
L330,105330,"POHL Kladno s.r.o."
L331,100331,"ARRIVA CITY s.r.o."
L332,100332,"ARRIVA CITY s.r.o."
L333,100333,"ARRIVA CITY s.r.o."
L334,100334,"Martin UHER, spol. s r.o."
L335,100335,"ARRIVA CITY s.r.o."
L336,100336,"ČSAD MHD Kladno a.s."
L337,100337,"ARRIVA CITY s.r.o."
L338,100338,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L339,100339,"ARRIVA CITY s.r.o."
L341,100341,"ARRIVA CITY s.r.o."
L343,100343,"ARRIVA CITY s.r.o."
L344,100344,"ARRIVA CITY s.r.o."
L346,100346,"ČSAD Střední Čechy, a.s."
L348,100348,"ARRIVA CITY s.r.o."
L349,100349,"ČSAD Střední Čechy, a.s."
L350,100350,"ČSAD MHD Kladno a.s."
L353,100353,"ARRIVA CITY s.r.o."
L354,100354,"STENBUS s.r.o."
L356,100356,"ČSAD MHD Kladno a.s."
L358,100358,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L360,108360,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L360,109360,"ČSAD AUTOBUSY České Budějovice a.s."
L361,100361,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L362,100362,"ARRIVA CITY s.r.o."
L367,100367,"ČSAD Střední Čechy, a.s."
L368,100368,"ČSAD Střední Čechy, a.s."
L369,100369,"ČSAD Střední Čechy, a.s."
L370,100370,"ČSAD Střední Čechy, a.s."
L371,100371,"ČSAD Střední Čechy, a.s."
L372,100372,"ČSAD Střední Čechy, a.s."
L373,100373,"ČSAD Střední Čechy, a.s."
L374,100374,"ČSAD Střední Čechy, a.s."
L375,100375,"ČSAD Střední Čechy, a.s."
L376,100376,"ČSAD Střední Čechy, a.s."
L377,100377,"ČSAD Střední Čechy, a.s."
L378,100378,"ČSAD Střední Čechy, a.s."
L379,100379,"ČSAD Střední Čechy, a.s."
L380,100380,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L381,100381,"ČSAD POLKOST, spol. s r.o."
L382,100382,"ČSAD POLKOST, spol. s r.o."
L383,100383,"ARRIVA CITY s.r.o."
L384,100384,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L385,100385,"ARRIVA CITY s.r.o."
L386,100386,"ČSAD MHD Kladno a.s."
L387,100387,"ČSAD POLKOST, spol. s r.o."
L390,100390,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L391,100391,"ARRIVA CITY s.r.o."
L396,100396,"ABOUT ME s.r.o."
L397,100397,"ARRIVA CITY s.r.o."
L398,100398,"Okresní autobusová doprava Kolín, s.r.o."
L399,100399,"Kateřina Kulhánková"
L421,230421,"Okresní autobusová doprava Kolín, s.r.o."
L422,230422,"Okresní autobusová doprava Kolín, s.r.o."
L423,286423,"Okresní autobusová doprava Kolín, s.r.o."
L424,230424,"Okresní autobusová doprava Kolín, s.r.o."
L425,210425,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L426,230426,"ČSAD POLKOST, spol. s r.o."
L426,231426,"Okresní autobusová doprava Kolín, s.r.o."
L427,286427,"Okresní autobusová doprava Kolín, s.r.o."
L428,282428,"ARRIVA CITY s.r.o."
L429,230429,"Okresní autobusová doprava Kolín, s.r.o."
L430,286430,"Okresní autobusová doprava Kolín, s.r.o."
L431,270431,"Okresní autobusová doprava Kolín, s.r.o."
L431,271431,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L432,270432,"Okresní autobusová doprava Kolín, s.r.o."
L433,270433,"Okresní autobusová doprava Kolín, s.r.o."
L434,270434,"Okresní autobusová doprava Kolín, s.r.o."
L435,230435,"ČSAD POLKOST, spol. s r.o."
L436,270436,"Okresní autobusová doprava Kolín, s.r.o."
L437,303437,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L438,200438,"ČSAD Benešov s.r.o."
L439,303439,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L440,291440,"ČSAD Benešov s.r.o."
L440,290440,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L441,290441,"ARRIVA CITY s.r.o."
L442,270442,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L443,270443,"Okresní autobusová doprava Kolín, s.r.o."
L444,290444,"ARRIVA CITY s.r.o."
L445,290445,"ARRIVA CITY s.r.o."
L446,290446,"Martin UHER, spol. s r.o."
L447,291447,"Martin UHER, spol. s r.o."
L448,290448,"Martin UHER, spol. s r.o."
L449,290449,"Martin UHER, spol. s r.o."
L450,230450,"Okresní autobusová doprava Kolín, s.r.o."
L451,210451,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L452,200452,"ČSAD Benešov s.r.o."
L453,200453,"ČSAD Benešov s.r.o."
L454,200454,"ČSAD Benešov s.r.o."
L455,200455,"ČSAD Benešov s.r.o."
L456,290456,"Vlastimil Slezák"
L456,292456,"AUTODOPRAVA LAMER s.r.o."
L457,250457,"ČSAD Střední Čechy, a.s."
L458,250458,"ČSAD Střední Čechy, a.s."
L459,200459,"ČSAD Benešov s.r.o."
L460,303460,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L461,282461,"ARRIVA CITY s.r.o."
L462,282462,"ARRIVA CITY s.r.o."
L464,250464,"ČSAD Střední Čechy, a.s."
L465,200465,"ARRIVA CITY s.r.o."
L466,250466,"ČSAD Střední Čechy, a.s."
L467,261467,"ČSAD Střední Čechy, a.s."
L467,260467,"ČSAD Česká Lípa a.s."
L468,250468,"ČSAD Česká Lípa a.s."
L469,282469,"ARRIVA CITY s.r.o."
L470,250470,"ČSAD Střední Čechy, a.s."
L471,250471,"ČSAD Střední Čechy, a.s."
L472,250472,"ČSAD Střední Čechy, a.s."
L473,250473,"ČSAD Střední Čechy, a.s."
L474,250474,"ČSAD Střední Čechy, a.s."
L475,250475,"ČSAD Střední Čechy, a.s."
L476,250476,"ČSAD Střední Čechy, a.s."
L477,281477,"ČSAD Střední Čechy, a.s."
L478,281478,"ČSAD Střední Čechy, a.s."
L479,250479,"ARRIVA CITY s.r.o."
L480,270480,"Okresní autobusová doprava Kolín, s.r.o."
L482,282482,"ARRIVA CITY s.r.o."
L483,270483,"Okresní autobusová doprava Kolín, s.r.o."
L484,282484,"ARRIVA CITY s.r.o."
L485,200485,"ČSAD Benešov s.r.o."
L486,303486,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L488,290488,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L489,282489,"ARRIVA CITY s.r.o."
L490,282490,"ARRIVA CITY s.r.o."
L491,230491,"ČSAD POLKOST, spol. s r.o."
L491,231491,"Okresní autobusová doprava Kolín, s.r.o."
L492,283492,"ČSAD POLKOST, spol. s r.o."
L493,270493,"Okresní autobusová doprava Kolín, s.r.o."
L494,282494,"ARRIVA CITY s.r.o."
L495,282495,"ARRIVA CITY s.r.o."
L496,250496,"ČSAD Střední Čechy, a.s."
L497,270497,"Okresní autobusová doprava Kolín, s.r.o."
L498,270498,"Okresní autobusová doprava Kolín, s.r.o."
L499,270499,"Okresní autobusová doprava Kolín, s.r.o."
L593,221593,"AUTODOPRAVA LAMER s.r.o."
L593,220593,"ČSAD Slaný s.r.o."
L601,225601,"ČSAD MHD Kladno a.s."
L602,225602,"ČSAD MHD Kladno a.s."
L603,225603,"ČSAD MHD Kladno a.s."
L604,225604,"ČSAD MHD Kladno a.s."
L605,225605,"ČSAD MHD Kladno a.s."
L606,225606,"ČSAD MHD Kladno a.s."
L607,225607,"ČSAD MHD Kladno a.s."
L608,220608,"ČSAD Slaný s.r.o."
L609,225609,"ČSAD MHD Kladno a.s."
L610,225610,"ČSAD MHD Kladno a.s."
L611,225611,"ČSAD MHD Kladno a.s."
L612,220612,"ČSAD MHD Kladno a.s."
L613,225613,"ČSAD MHD Kladno a.s."
L614,225614,"ČSAD MHD Kladno a.s."
L616,225616,"ČSAD MHD Kladno a.s."
L617,220617,"ČSAD MHD Kladno a.s."
L617,222617,"AUTODOPRAVA LAMER s.r.o."
L617,221617,"ČSAD Slaný s.r.o."
L620,220620,"Valenta BUS s.r.o."
L621,220621,"ČSAD Slaný s.r.o."
L622,220622,"ČSAD Slaný s.r.o."
L623,220623,"ČSAD MHD Kladno a.s."
L624,290624,"ČSAD MHD Kladno a.s."
L626,290626,"ČSAD MHD Kladno a.s."
L651,200651,"ARRIVA CITY s.r.o."
L652,283652,"ČSAD POLKOST, spol. s r.o."
L653,282653,"ARRIVA CITY s.r.o."
L654,283654,"ČSAD POLKOST, spol. s r.o."
L655,281655,"ČSAD Střední Čechy, a.s."
L656,282656,"ARRIVA CITY s.r.o."
L657,281657,"ČSAD Střední Čechy, a.s."
L658,250658,"ARRIVA CITY s.r.o."
L659,230659,"ČSAD POLKOST, spol. s r.o."
L660,230660,"ČSAD POLKOST, spol. s r.o."
L661,230661,"Okresní autobusová doprava Kolín, s.r.o."
L662,286662,"Okresní autobusová doprava Kolín, s.r.o."
L663,250663,"ČSAD Střední Čechy, a.s."
L664,290664,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L665,290665,"ARRIVA STŘEDNÍ ČECHY s.r.o."
L666,281666,"ČSAD Střední Čechy, a.s."
L667,281667,"ČSAD Střední Čechy, a.s."
L668,250668,"ČSAD Střední Čechy, a.s."
L669,281669,"ČSAD Střední Čechy, a.s."
L670,281670,"ČSAD Střední Čechy, a.s."
L671,281671,"ČSAD Střední Čechy, a.s."
L672,290672,"Martin UHER, spol. s r.o."
L673,270673,"Okresní autobusová doprava Kolín, s.r.o."
L674,270674,"Okresní autobusová doprava Kolín, s.r.o."
L675,230675,"Okresní autobusová doprava Kolín, s.r.o."
L676,270676,"Okresní autobusová doprava Kolín, s.r.o."
L678,270678,"Okresní autobusová doprava Kolín, s.r.o."
L679,270679,"Okresní autobusová doprava Kolín, s.r.o."
L741,278480,"Okresní autobusová doprava Kolín, s.r.o."
L747,250747,"ČSAD Střední Čechy, a.s."
L951,100951,"ARRIVA STŘEDNÍ ČECHY s.r.o."
